id,player,position,price,team,abbr,4_Pts,4_PtsCond,4_PPlay,4_xMins,4_xG,4_xA,4_TeamXG,4_TeamXGA,4_PCleanSheet,5_Pts,5_PtsCond,5_PPlay,5_xMins,5_xG,5_xA,5_TeamXG,5_TeamXGA,5_PCleanSheet,6_Pts,6_PtsCond,6_PPlay,6_xMins,6_xG,6_xA,6_TeamXG,6_TeamXGA,6_PCleanSheet,7_Pts,7_PtsCond,7_PPlay,7_xMins,7_xG,7_xA,7_TeamXG,7_TeamXGA,7_PCleanSheet,8_Pts,8_PtsCond,8_PPlay,8_xMins,8_xG,8_xA,8_TeamXG,8_TeamXGA,8_PCleanSheet,ko_total
38,Lionel Messi,FWD,10.0,Argentina,ARG,9.419,9.419,1.0,78.55,1.164,0.533,3.028,0.54,0.583,6.581,7.465,0.882,78.55,0.857,0.393,2.23,0.69,0.501,4.722,6.399,0.738,78.55,0.69,0.316,1.795,0.847,0.429,3.252,5.965,0.545,78.55,0.622,0.285,1.618,0.963,0.382,3.224,5.913,0.545,78.55,0.614,0.281,1.597,1.005,0.366,27.2
30,Nahuel Molina,DEF,4.4,Argentina,ARG,6.805,6.805,1.0,76.56,0.064,0.093,3.028,0.54,0.583,5.256,5.962,0.882,76.56,0.047,0.068,2.23,0.69,0.501,3.881,5.258,0.738,76.56,0.038,0.055,1.795,0.847,0.429,2.625,4.814,0.545,76.56,0.034,0.049,1.618,0.963,0.382,2.548,4.674,0.545,76.56,0.034,0.049,1.597,1.005,0.366,21.12
34,Nicolás Tagliafico,DEF,4.3,Argentina,ARG,6.804,6.804,1.0,80.2,0.054,0.113,3.028,0.54,0.583,5.257,5.963,0.882,80.2,0.04,0.083,2.23,0.69,0.501,3.882,5.26,0.738,80.2,0.032,0.067,1.795,0.847,0.429,2.626,4.817,0.545,80.2,0.029,0.061,1.618,0.963,0.382,2.55,4.676,0.545,80.2,0.029,0.06,1.597,1.005,0.366,21.12
31,Nicolás Otamendi,DEF,4.4,Argentina,ARG,6.678,6.678,1.0,77.6,0.075,0.037,3.028,0.54,0.583,5.169,5.863,0.882,77.6,0.055,0.027,2.23,0.69,0.501,3.819,5.174,0.738,77.6,0.044,0.022,1.795,0.847,0.429,2.583,4.737,0.545,77.6,0.04,0.02,1.618,0.963,0.382,2.506,4.596,0.545,77.6,0.039,0.019,1.597,1.005,0.366,20.76
1274,Christian Pulisic,MID,7.0,USA,USA,7.956,7.956,1.0,78.46,0.561,0.367,2.391,0.769,0.464,5.241,6.35,0.825,78.46,0.397,0.259,1.691,0.986,0.373,2.83,5.021,0.564,78.46,0.273,0.179,1.164,1.476,0.229,1.23,5.26,0.234,78.46,0.296,0.194,1.264,1.423,0.241,1.184,5.064,0.234,78.46,0.277,0.181,1.179,1.439,0.237,18.44
28,Cristian Romero,DEF,4.9,Argentina,ARG,5.582,5.582,1.0,83.34,0.087,0.061,3.028,0.54,0.583,4.317,4.897,0.882,83.34,0.064,0.045,2.23,0.69,0.501,3.201,4.337,0.738,83.34,0.051,0.036,1.795,0.847,0.429,2.173,3.986,0.545,83.34,0.046,0.033,1.618,0.963,0.382,2.113,3.875,0.545,83.34,0.046,0.032,1.597,1.005,0.366,17.39
55,Thiago Almada,MID,6.5,Argentina,ARG,5.501,5.501,1.0,70.92,0.236,0.245,3.028,0.54,0.583,4.13,4.685,0.882,70.92,0.174,0.181,2.23,0.69,0.501,3.102,4.203,0.738,70.92,0.14,0.145,1.795,0.847,0.429,2.174,3.987,0.545,70.92,0.126,0.131,1.618,0.963,0.382,2.154,3.951,0.545,70.92,0.125,0.129,1.597,1.005,0.366,17.06
500,Kylian Mbappé,FWD,10.5,France,FRA,6.265,6.265,1.0,83.63,0.637,0.361,2.252,0.701,0.496,4.281,5.162,0.829,83.63,0.472,0.267,1.67,1.121,0.326,2.83,5.359,0.528,83.63,0.501,0.284,1.774,0.873,0.418,1.83,4.771,0.383,83.63,0.414,0.234,1.464,1.094,0.335,1.835,4.785,0.383,83.63,0.416,0.235,1.471,1.094,0.335,17.04
50,Rodrigo De Paul,MID,5.9,Argentina,ARG,5.456,5.456,1.0,80.33,0.198,0.301,3.028,0.54,0.583,4.103,4.654,0.882,80.33,0.145,0.222,2.23,0.69,0.501,3.084,4.179,0.738,80.33,0.117,0.179,1.795,0.847,0.429,2.162,3.965,0.545,80.33,0.106,0.161,1.618,0.963,0.382,2.143,3.93,0.545,80.33,0.104,0.159,1.597,1.005,0.366,16.95
1254,Malik Tillman,MID,6.1,USA,USA,7.214,7.214,1.0,77.73,0.487,0.259,2.391,0.769,0.464,4.795,5.81,0.825,77.73,0.345,0.183,1.691,0.986,0.373,2.615,4.639,0.564,77.73,0.237,0.126,1.164,1.476,0.229,1.133,4.848,0.234,77.73,0.257,0.137,1.264,1.423,0.241,1.093,4.677,0.234,77.73,0.24,0.128,1.179,1.439,0.237,16.85
