competition,mean_pele,strength_mult
CONMEBOL WCQ,1864.4299999999998,1.0
Euro 2024,1848.3478260869567,0.9913742141496097
Copa America 2024,1820.7312499999998,0.9765618714566918
UEFA Nations League,1682.9000000000003,0.9026351217262115
UEFA WCQ,1682.8999999999999,0.9026351217262112
Gold Cup 2025,1655.0642857142855,0.8877052427360027
AFCON 2025,1652.8739130434783,0.8865304211171663
CAF WCQ,1540.664705882353,0.8263462322974598
CONCACAF WCQ,1392.1719999999996,0.7467011365403902
AFC WCQ,1346.1581395348837,0.722021282394557
OFC WCQ,1085.0300000000002,0.5819633882741644
