Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,confederation,competition
2,Thelo Aasgaard,MF,Norway,23,2002,4,1,120,1.3,5,1,6,4,1,1,0,0,3.75,0.75,4.5,3.0,3.75,Matches,UEFA,UEFA WCQ
12,Michel Aebischer,MF,Switzerland,29,1997,4,2,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
16,Kristoffer Ajer,DF,Norway,27,1998,8,8,702,7.8,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,Matches,UEFA,UEFA WCQ
19,Manuel Akanji,DF,Switzerland,30,1995,6,6,540,6.0,1,0,1,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,Matches,UEFA,UEFA WCQ
24,Maghnes Akliouche,MF,France,23,2002,5,1,133,1.5,1,1,2,1,0,0,0,0,0.68,0.68,1.35,0.68,1.35,Matches,UEFA,UEFA WCQ
28,Trent Alexander-Arnold,"DF,MF",England,27,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
45,Elliot Anderson,MF,England,23,2002,5,4,370,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
47,Fredrik André Bjørkan,DF,Norway,27,1998,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
82,Alex Baena,"MF,FW",Spain,24,2001,4,2,208,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
87,Adrian Bajrami,DF,Switzerland,23,2002,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
101,Bradley Barcola,MF,France,23,2002,4,3,215,2.4,1,1,2,1,0,0,0,0,0.42,0.42,0.84,0.42,0.84,Matches,UEFA,UEFA WCQ
109,Pablo Barrios,MF,Spain,22,2003,3,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
127,Jude Bellingham,MF,England,22,2003,5,4,354,3.9,0,1,1,0,0,0,2,0,0.0,0.25,0.25,0.0,0.25,Matches,UEFA,UEFA WCQ
138,Lasse Berg Johnsen,MF,Norway,26,1999,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
139,Patrick Berg,MF,Norway,28,1997,7,4,358,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
140,Sander Berge,MF,Norway,27,1998,8,8,720,8.0,0,2,2,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,Matches,UEFA,UEFA WCQ
159,Oscar Bobb,MF,Norway,22,2003,6,2,246,2.7,0,1,1,0,0,0,0,0,0.0,0.37,0.37,0.0,0.37,Matches,UEFA,UEFA WCQ
175,Erik Botheim,FW,Norway,26,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
176,Jarrod Bowen,"MF,FW",England,29,1996,5,2,197,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,Matches,UEFA,UEFA WCQ
202,Dan Burn,DF,England,33,1992,5,4,380,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
214,Eduardo Camavinga,MF,France,23,2002,2,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
219,João Cancelo,DF,Portugal,31,1994,4,4,285,3.2,2,2,4,2,0,0,1,0,0.63,0.63,1.26,0.63,1.26,Matches,UEFA,UEFA WCQ
226,Dani Carvajal,DF,Spain,34,1992,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
228,Timothy Castagne,DF,Belgium,30,1995,6,4,413,4.6,0,2,2,0,0,0,0,0,0.0,0.44,0.44,0.0,0.44,Matches,UEFA,UEFA WCQ
242,Rayan Cherki,MF,France,22,2003,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
245,Lucas Chevalier,GK,France,24,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
267,Kingsley Coman,MF,France,29,1996,3,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
268,Francisco Conceição,MF,Portugal,23,2002,2,0,64,0.7,1,0,1,1,0,0,0,0,1.41,0.0,1.41,1.41,1.41,Matches,UEFA,UEFA WCQ
273,Diogo Costa,GK,Portugal,26,1999,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
275,Thibaut Courtois,GK,Belgium,33,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
279,Pau Cubarsí,DF,Spain,19,2007,4,3,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
281,Marc Cucurella,DF,Spain,27,1998,5,5,450,5.0,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.2,0.4,Matches,UEFA,UEFA WCQ
290,Diogo Dalot,DF,Portugal,26,1999,2,2,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
312,Kevin De Bruyne,MF,Belgium,34,1991,6,6,463,5.1,6,1,7,4,2,2,1,0,1.17,0.19,1.36,0.78,0.97,Matches,UEFA,UEFA WCQ
313,Maxim De Cuyper,DF,Belgium,25,2000,7,6,414,4.6,2,2,4,2,0,0,1,0,0.43,0.43,0.87,0.43,0.87,Matches,UEFA,UEFA WCQ
314,Charles De Ketelaere,FW,Belgium,24,2001,5,4,329,3.7,2,3,5,2,0,0,0,0,0.55,0.82,1.37,0.55,1.37,Matches,UEFA,UEFA WCQ
315,Koni De Winter,DF,Belgium,23,2002,3,1,200,2.2,0,1,1,0,0,0,0,0,0.0,0.45,0.45,0.0,0.45,Matches,UEFA,UEFA WCQ
316,Zeno Debast,DF,Belgium,22,2003,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
320,Ousmane Dembélé,"FW,MF",France,28,1997,1,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
328,Rúben Dias,DF,Portugal,28,1997,6,6,522,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
330,Lucas Digne,DF,France,32,1993,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,Matches,UEFA,UEFA WCQ
339,Jeremy Doku,"MF,FW",Belgium,23,2002,8,8,642,7.1,5,3,8,5,0,0,0,0,0.7,0.42,1.12,0.7,1.12,Matches,UEFA,UEFA WCQ
347,Désiré Doué,MF,France,20,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
368,Aron Dønnum,"FW,MF",Norway,27,1998,4,0,78,0.9,1,0,1,1,0,0,0,0,1.15,0.0,1.15,1.15,1.15,Matches,UEFA,UEFA WCQ
375,Hugo Ekitike,"MF,FW",France,23,2002,6,2,204,2.3,1,2,3,1,0,0,0,0,0.44,0.88,1.32,0.44,1.32,Matches,UEFA,UEFA WCQ
385,Nico Elvedi,DF,Switzerland,29,1996,6,6,540,6.0,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,Matches,UEFA,UEFA WCQ
387,Breel Embolo,FW,Switzerland,28,1997,6,6,483,5.4,4,0,4,4,0,0,0,0,0.75,0.0,0.75,0.75,0.75,Matches,UEFA,UEFA WCQ
397,Eberechi Eze,"MF,FW",England,27,1998,6,2,252,2.8,3,0,3,3,0,0,0,0,1.07,0.0,1.07,1.07,1.07,Matches,UEFA,UEFA WCQ
400,Wout Faes,DF,Belgium,27,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
401,Christian Fassnacht,"FW,MF",Switzerland,32,1993,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
402,João Félix,FW,Portugal,26,1999,5,2,192,2.1,2,1,3,2,0,0,1,0,0.94,0.47,1.41,0.94,1.41,Matches,UEFA,UEFA WCQ
405,Bruno Fernandes,MF,Portugal,31,1994,5,5,391,4.3,3,0,3,1,2,2,2,0,0.69,0.0,0.69,0.23,0.23,Matches,UEFA,UEFA WCQ
409,Phil Foden,MF,England,25,2000,4,1,152,1.7,0,1,1,0,0,0,0,0,0.0,0.59,0.59,0.0,0.59,Matches,UEFA,UEFA WCQ
410,Malick Fofana,MF,Belgium,20,2005,4,1,145,1.6,1,0,1,1,0,0,0,0,0.62,0.0,0.62,0.62,0.62,Matches,UEFA,UEFA WCQ
411,Carlos Forbs,"FW,MF",Portugal,21,2004,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
412,Pablo Fornals,"FW,MF",Spain,29,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
420,Remo Freuler,MF,Switzerland,33,1992,4,4,360,4.0,0,2,2,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5,Matches,UEFA,UEFA WCQ
425,Jorge de Frutos,"FW,MF",Spain,28,1997,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
433,Aleix García,MF,Spain,28,1997,3,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
446,Morgan Gibbs-White,"FW,MF",England,26,2000,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
461,Pedro Gonçalves,"FW,MF",Portugal,27,1998,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
463,Anthony Gordon,"MF,FW",England,24,2001,5,2,188,2.1,1,0,1,1,0,0,1,0,0.48,0.0,0.48,0.48,0.48,Matches,UEFA,UEFA WCQ
477,Álex Grimaldo,DF,Spain,30,1995,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,Matches,UEFA,UEFA WCQ
489,Marc Guéhi,DF,England,25,2000,3,3,255,2.8,1,1,2,1,0,0,0,0,0.35,0.35,0.71,0.35,0.71,Matches,UEFA,UEFA WCQ
496,Malo Gusto,DF,France,22,2003,5,2,211,2.3,0,2,2,0,0,0,0,0,0.0,0.85,0.85,0.0,0.85,Matches,UEFA,UEFA WCQ
503,Erling Haaland,FW,Norway,25,2000,8,8,704,7.8,16,3,19,16,0,1,1,0,2.05,0.38,2.43,2.05,2.43,Matches,UEFA,UEFA WCQ
526,Aune Heggebø,FW,Norway,24,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
527,Torbjørn Heggem,DF,Norway,27,1999,8,7,664,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
528,Dean Henderson,GK,England,28,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
529,Jordan Henderson,MF,England,35,1990,6,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
532,Lucas Hernández,DF,France,29,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
533,Theo Hernández,DF,France,28,1997,3,3,270,3.0,0,1,1,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,Matches,UEFA,UEFA WCQ
554,Dean Huijsen,DF,Spain,20,2005,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
566,Borja Iglesias,FW,Spain,33,1993,3,0,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
572,Gonçalo Inácio,DF,Portugal,24,2001,3,3,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
579,Cedric Itten,"FW,MF",Switzerland,29,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
590,Reece James,DF,England,26,1999,6,5,406,4.5,1,1,2,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches,UEFA,UEFA WCQ
596,Luca Jaquez,DF,Switzerland,22,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
615,Curtis Jones,MF,England,25,2001,3,2,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
640,Harry Kane,FW,England,32,1993,8,8,679,7.5,8,0,8,7,1,1,0,0,1.06,0.0,1.06,0.93,0.93,Matches,UEFA,UEFA WCQ
642,N'Golo Kanté,MF,France,34,1991,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,Matches,UEFA,UEFA WCQ
684,Gregor Kobel,GK,Switzerland,28,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA,UEFA WCQ
