Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,confederation
2,Thelo Aasgaard,MF,Norway,23,2002,4,1,120,1.3,5,1,6,4,1,1,0,0,3.75,0.75,4.5,3.0,3.75,Matches,UEFA
9,Che Adams,"FW,MF",Scotland,29,1996,6,5,441,4.9,2,0,2,2,0,0,1,0,0.41,0.0,0.41,0.41,0.41,Matches,UEFA
10,Karim Adeyemi,MF,Germany,24,2002,3,2,148,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
12,Michel Aebischer,MF,Switzerland,29,1997,4,2,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
16,Kristoffer Ajer,DF,Norway,27,1998,8,8,702,7.8,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,Matches,UEFA
19,Manuel Akanji,DF,Switzerland,30,1995,6,6,540,6.0,1,0,1,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,Matches,UEFA
20,Samet Akaydın,DF,Türkiye,31,1994,4,2,232,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
21,Yusuf Akçiçek,DF,Türkiye,20,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
22,Nathan Aké,DF,Netherlands,30,1995,4,3,232,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
23,Yunus Akgün,MF,Türkiye,25,2000,3,3,177,2.0,1,1,2,1,0,0,0,0,0.51,0.51,1.02,0.51,1.02,Matches,UEFA
24,Maghnes Akliouche,MF,France,23,2002,5,1,133,1.5,1,1,2,1,0,0,0,0,0.68,0.68,1.35,0.68,1.35,Matches,UEFA
25,Kerem Aktürkoğlu,FW,Türkiye,27,1998,7,7,563,6.3,3,0,3,3,0,0,3,0,0.48,0.0,0.48,0.48,0.48,Matches,UEFA
26,David Alaba,DF,Austria,33,1992,4,4,297,3.3,0,1,1,0,0,0,2,0,0.0,0.3,0.3,0.0,0.3,Matches,UEFA
27,Kerim Alajbegović,"MF,FW",Bosnia-Herzegovina,18,2007,7,2,359,4.0,1,1,2,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches,UEFA
28,Trent Alexander-Arnold,"DF,MF",England,27,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
38,Barış Alper Yılmaz,MF,Türkiye,25,2000,5,2,217,2.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
41,Nadiem Amiri,MF,Germany,29,1996,2,0,61,0.7,1,0,1,1,0,0,0,0,1.48,0.0,1.48,1.48,1.48,Matches,UEFA
45,Elliot Anderson,MF,England,23,2002,5,4,370,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
47,Fredrik André Bjørkan,DF,Norway,27,1998,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
51,Robert Andrich,"DF,MF",Germany,31,1994,1,0,4,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
57,Waldemar Anton,DF,Germany,29,1996,4,2,229,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
59,Marko Arnautović,FW,Austria,36,1989,7,5,426,4.7,8,1,9,7,1,2,0,0,1.69,0.21,1.9,1.48,1.69,Matches,UEFA
74,Yasin Ayari,MF,Sweden,22,2003,7,7,542,6.0,1,2,3,1,0,0,1,0,0.17,0.33,0.5,0.17,0.5,Matches,UEFA
75,Oğuz Aydın,MF,Türkiye,25,2000,5,2,263,2.9,0,1,1,0,0,0,1,0,0.0,0.34,0.34,0.0,0.34,Matches,UEFA
76,Kaan Ayhan,"DF,MF",Türkiye,31,1994,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
82,Alex Baena,"MF,FW",Spain,24,2001,4,2,208,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
86,Esmir Bajraktarevic,MF,Bosnia-Herzegovina,20,2005,7,4,510,5.7,1,1,2,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35,Matches,UEFA
87,Adrian Bajrami,DF,Switzerland,23,2002,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
91,Ridle Baku,DF,Germany,27,1998,4,1,148,1.6,1,1,2,1,0,0,0,0,0.61,0.61,1.22,0.61,1.22,Matches,UEFA
95,Thierno Ballo,"FW,MF",Austria,24,2002,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
101,Bradley Barcola,MF,France,23,2002,4,3,215,2.4,1,1,2,1,0,0,0,0,0.42,0.42,0.84,0.42,0.84,Matches,UEFA
102,Abdülkerim Bardakcı,DF,Türkiye,31,1994,7,7,630,7.0,0,1,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,Matches,UEFA
103,Roony Bardghji,FW,Sweden,20,2005,3,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
109,Pablo Barrios,MF,Spain,22,2003,3,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
112,Ivan Bašić,MF,Bosnia-Herzegovina,23,2002,7,2,288,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
114,Martin Baturina,MF,Croatia,22,2003,4,2,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
115,Oliver Baumann,GK,Germany,35,1990,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
116,Christoph Baumgartner,MF,Austria,26,1999,7,7,558,6.2,1,0,1,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,Matches,UEFA
117,Altay Bayındır,GK,Türkiye,27,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
120,Samed Baždar,"MF,FW",Bosnia-Herzegovina,22,2004,7,2,224,2.5,1,0,1,1,0,0,0,0,0.4,0.0,0.4,0.4,0.4,Matches,UEFA
125,Maximilian Beier,"FW,MF",Germany,23,2002,3,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
127,Jude Bellingham,MF,England,22,2003,5,4,354,3.9,0,1,1,0,0,0,2,0,0.0,0.25,0.25,0.0,0.25,Matches,UEFA
134,Michal Beran,MF,Czechia,25,2000,2,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
138,Lasse Berg Johnsen,MF,Norway,26,1999,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
139,Patrick Berg,MF,Norway,28,1997,7,4,358,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
140,Sander Berge,MF,Norway,27,1998,8,8,720,8.0,0,2,2,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,Matches,UEFA
141,Lucas Bergvall,MF,Sweden,19,2006,4,2,165,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
144,Alexander Bernhardsson,MF,Sweden,27,1998,6,5,342,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
146,Dino Beširović,MF,Bosnia-Herzegovina,32,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
147,Ermin Bičakčić,DF,Bosnia-Herzegovina,36,1990,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
159,Oscar Bobb,MF,Norway,22,2003,6,2,246,2.7,0,1,1,0,0,0,0,0,0.0,0.37,0.37,0.0,0.37,Matches,UEFA
175,Erik Botheim,FW,Norway,26,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
176,Jarrod Bowen,"MF,FW",England,29,1996,5,2,197,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,Matches,UEFA
177,Kieron Bowie,"FW,MF",Scotland,23,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
180,Domagoj Bradarić,DF,Croatia,26,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
190,Nathaniel Brown,"DF,MF",Germany,22,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
194,Ante Budimir,FW,Croatia,34,1991,5,4,260,2.9,2,1,3,1,1,1,0,0,0.69,0.35,1.04,0.35,0.69,Matches,UEFA
201,Jonathan Burkardt,"FW,MF",Germany,25,2000,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
202,Dan Burn,DF,England,33,1992,5,4,380,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
203,Dženis Burnić,"DF,MF",Bosnia-Herzegovina,27,1998,8,3,406,4.5,0,1,1,0,0,0,2,0,0.0,0.22,0.22,0.0,0.22,Matches,UEFA
209,Uğurcan Çakır,GK,Türkiye,29,1996,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
211,Duje Ćaleta-Car,DF,Croatia,29,1996,6,6,491,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
212,Hakan Çalhanoğlu,MF,Türkiye,31,1994,7,7,556,6.2,1,4,5,0,1,1,2,0,0.16,0.65,0.81,0.0,0.65,Matches,UEFA
214,Eduardo Camavinga,MF,France,23,2002,2,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
219,João Cancelo,DF,Portugal,31,1994,4,4,285,3.2,2,2,4,2,0,0,1,0,0.63,0.63,1.26,0.63,1.26,Matches,UEFA
226,Dani Carvajal,DF,Spain,34,1992,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
228,Timothy Castagne,DF,Belgium,30,1995,6,4,413,4.6,0,2,2,0,0,0,0,0,0.0,0.44,0.44,0.0,0.44,Matches,UEFA
230,Zeki Çelik,"DF,MF",Türkiye,28,1997,5,4,356,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,Matches,UEFA
232,Václav Černý,"MF,FW",Czechia,28,1997,7,5,443,4.9,2,2,4,2,0,0,0,0,0.41,0.41,0.81,0.41,0.81,Matches,UEFA
234,Lukáš Červ,MF,Czechia,24,2001,8,6,493,5.5,1,2,3,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches,UEFA
237,Štěpán Chaloupek,DF,Czechia,22,2003,3,1,218,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
242,Rayan Cherki,MF,France,22,2003,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
245,Lucas Chevalier,GK,France,24,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
249,Tomáš Chorý,FW,Czechia,31,1995,9,4,432,4.8,1,3,4,1,0,0,1,0,0.21,0.62,0.83,0.21,0.83,Matches,UEFA
251,Jan Chramosta,FW,Czechia,35,1990,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
253,Ryan Christie,"MF,FW",Scotland,30,1995,5,4,325,3.6,2,0,2,2,0,0,2,0,0.55,0.0,0.55,0.55,0.55,Matches,UEFA
256,Mojmír Chytil,FW,Czechia,26,1999,3,0,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
264,Nnamdi Collins,DF,Germany,22,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
267,Kingsley Coman,MF,France,29,1996,3,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
268,Francisco Conceição,MF,Portugal,23,2002,2,0,64,0.7,1,0,1,1,0,0,0,0,1.41,0.0,1.41,1.41,1.41,Matches,UEFA
273,Diogo Costa,GK,Portugal,26,1999,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
274,Vladimír Coufal,"DF,MF",Czechia,33,1992,9,9,820,9.1,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches,UEFA
