id,player,position,price,team,abbr,1_Pts,1_xMins,1_xG,1_xA,1_GoalPts,1_AssistPts,1_CSPts,1_ConcededPts,1_AppPts,1_OppAbbr,1_TeamXG,1_GoalShare,1_AssistShare,1_ModelGoalShare,1_ModelAssistShare,1_OverrideGoalShare,1_OverrideAssistShare,2_Pts,2_xMins,2_xG,2_xA,2_GoalPts,2_AssistPts,2_CSPts,2_ConcededPts,2_AppPts,2_OppAbbr,2_TeamXG,2_GoalShare,2_AssistShare,2_ModelGoalShare,2_ModelAssistShare,2_OverrideGoalShare,2_OverrideAssistShare,3_Pts,3_xMins,3_xG,3_xA,3_GoalPts,3_AssistPts,3_CSPts,3_ConcededPts,3_AppPts,3_OppAbbr,3_TeamXG,3_GoalShare,3_AssistShare,3_ModelGoalShare,3_ModelAssistShare,3_OverrideGoalShare,3_OverrideAssistShare
1,Rayan Aït-Nouri,DEF,4.9,Algeria,ALG,1.42,80.0,0.015279975813738814,0.045287317000423974,0.1069598306961717,0.1358619510012719,0.5275859425186104,-1.3543986036345486,2,ARG,0.7489468719762685,0.020401948903824223,0.08062399563077681,0.020401948903824223,0.08062399563077681,,,4.05,80.0,0.03453955077336242,0.10236950660085911,0.24177685541353694,0.30710851980257736,1.8590188244882637,-0.3611928425069406,2,JOR,1.6929534985203392,0.020401948903824223,0.08062399563077681,0.020401948903824223,0.08062399563077681,,,2.82,80.0,0.02724116654408961,0.08073830481029179,0.19068816580862727,0.24221491443087537,1.109817651660951,-0.7272057187200477,2,AUT,1.3352237412467698,0.02040194890382422,0.08062399563077682,0.02040194890382422,0.08062399563077682,,
2,Ramy Bensebaini,DEF,4.4,Algeria,ALG,1.58,80.0,0.04428241869327402,0.03240784502602478,0.3099769308529181,0.09722353507807432,0.5275859425186104,-1.3543986036345486,2,ARG,0.7489468719762685,0.05912624826968657,0.05769496028560607,0.05912624826968657,0.05769496028560607,,,4.42,80.0,0.10009798886254805,0.07325616364688162,0.7006859220378363,0.21976849094064485,1.8590188244882637,-0.3611928425069406,2,JOR,1.6929534985203392,0.05912624826968658,0.05769496028560607,0.05912624826968658,0.05769496028560607,,,3.11,80.0,0.07894677042053624,0.05777676054272306,0.5526273929437537,0.17333028162816916,1.109817651660951,-0.7272057187200477,2,AUT,1.3352237412467698,0.059126248269686564,0.05769496028560607,0.059126248269686564,0.05769496028560607,,
3,Aïssa Mandi,DEF,3.9,Algeria,ALG,1.34,80.0,0.018292363488219852,0.011832629873819113,0.12804654441753896,0.03549788962145734,0.5275859425186104,-1.3543986036345486,2,ARG,0.7489468719762685,0.02442411360895499,0.02106536581176713,0.02442411360895499,0.02106536581176713,,,3.87,80.0,0.04134888858253858,0.02674701356148143,0.28944222007777004,0.08024104068444429,1.8590188244882637,-0.3611928425069406,2,JOR,1.6929534985203392,0.02442411360895499,0.02106536581176713,0.02442411360895499,0.02106536581176713,,,2.67,80.0,0.03261165634958503,0.021095232412439626,0.22828159444709523,0.06328569723731887,1.109817651660951,-0.7272057187200477,2,AUT,1.3352237412467698,0.02442411360895499,0.02106536581176713,0.02442411360895499,0.02106536581176713,,
4,Mehdi Dorval,DEF,3.7,Algeria,ALG,1.4,80.0,0.021828536876769732,0.02543669439541466,0.15279975813738814,0.07631008318624398,0.5275859425186104,-1.3543986036345486,2,ARG,0.7489468719762685,0.02914564129117746,0.04528437703161168,0.02914564129117746,0.04528437703161168,,,4.02,80.0,0.049342215390517745,0.057498258392985814,0.3453955077336242,0.17249477517895745,1.8590188244882637,-0.3611928425069406,2,JOR,1.6929534985203392,0.029145641291177464,0.04528437703161168,0.029145641291177464,0.04528437703161168,,,2.79,80.0,0.038915952205842305,0.04534858149013338,0.2724116654408961,0.13604574447040013,1.109817651660951,-0.7272057187200477,2,AUT,1.3352237412467698,0.02914564129117746,0.04528437703161168,0.02914564129117746,0.04528437703161168,,
5,Zinéddine Belaïd,DEF,3.7,Algeria,ALG,-0.28,25.0,0.0068214177739905416,0.007948966998567081,0.04774992441793379,0.023846900995701244,0.0,-1.3543986036345486,1,ARG,0.7489468719762685,0.009108012903492958,0.014151367822378651,0.009108012903492958,0.014151367822378651,,,0.8,25.0,0.015419442309536794,0.01796820574780807,0.10793609616675756,0.05390461724342421,0.0,-0.3611928425069406,1,JOR,1.6929534985203392,0.009108012903492958,0.014151367822378651,0.009108012903492958,0.014151367822378651,,,0.4,25.0,0.012161235064325721,0.014171431715666684,0.08512864545028005,0.04251429514700005,0.0,-0.7272057187200477,1,AUT,1.3352237412467698,0.009108012903492958,0.014151367822378653,0.009108012903492958,0.014151367822378653,,
6,Sohaib Nair,DEF,3.5,Algeria,ALG,-0.28,25.0,0.0068214177739905416,0.007948966998567081,0.04774992441793379,0.023846900995701244,0.0,-1.3543986036345486,1,ARG,0.7489468719762685,0.009108012903492958,0.014151367822378651,0.009108012903492958,0.014151367822378651,,,0.8,25.0,0.015419442309536794,0.01796820574780807,0.10793609616675756,0.05390461724342421,0.0,-0.3611928425069406,1,JOR,1.6929534985203392,0.009108012903492958,0.014151367822378651,0.009108012903492958,0.014151367822378651,,,0.4,25.0,0.012161235064325721,0.014171431715666684,0.08512864545028005,0.04251429514700005,0.0,-0.7272057187200477,1,AUT,1.3352237412467698,0.009108012903492958,0.014151367822378653,0.009108012903492958,0.014151367822378653,,
7,Rafik Belghali,DEF,3.5,Algeria,ALG,-0.34,5.0,0.0014702974556453261,0.0007438641587342424,0.010292082189517283,0.0022315924762027275,0.0,-1.3543986036345486,1,ARG,0.7489468719762685,0.0019631532097405097,0.0013242846928450095,0.0019631532097405097,0.0013242846928450095,,,0.67,5.0,0.0033235270945616295,0.0016814643028416683,0.023264689661931407,0.005044392908525005,0.0,-0.3611928425069406,1,JOR,1.6929534985203392,0.00196315320974051,0.0013242846928450092,0.00196315320974051,0.0013242846928450092,,,0.3,5.0,0.0026212487733503283,0.001326162271542257,0.0183487414134523,0.003978486814626771,0.0,-0.7272057187200477,1,AUT,1.3352237412467698,0.00196315320974051,0.0013242846928450095,0.00196315320974051,0.0013242846928450095,,
8,Achref Abada,DEF,3.5,Algeria,ALG,-0.34,5.0,0.0013642835547981083,0.0015897933997134162,0.009549984883586759,0.004769380199140249,0.0,-1.3543986036345486,1,ARG,0.7489468719762685,0.0018216025806985913,0.00283027356447573,0.0018216025806985913,0.00283027356447573,,,0.67,5.0,0.003083888461907359,0.0035936411495616134,0.021587219233351513,0.01078092344868484,0.0,-0.3611928425069406,1,JOR,1.6929534985203392,0.0018216025806985915,0.00283027356447573,0.0018216025806985915,0.00283027356447573,,,0.3,5.0,0.002432247012865144,0.002834286343133336,0.017025729090056008,0.008502859029400008,0.0,-0.7272057187200477,1,AUT,1.3352237412467698,0.0018216025806985913,0.00283027356447573,0.0018216025806985913,0.00283027356447573,,
9,Mohammed Amoura,FWD,6.2,Algeria,ALG,2.71,70.0,0.11701272923395625,0.043086026002851885,0.5850636461697812,0.12925807800855565,0.0,0.0,2,ARG,0.7489468719762685,0.15623635482339523,0.0767050865956344,0.15623635482339523,0.0767050865956344,,,3.61,70.0,0.26450088349433204,0.09739360852978862,1.3225044174716603,0.29218082558936587,0.0,0.0,2,JOR,1.6929534985203392,0.15623635482339523,0.0767050865956344,0.15623635482339523,0.0767050865956344,,,3.27,70.0,0.2086104902060516,0.07681383952266031,1.043052451030258,0.23044151856798095,0.0,0.0,2,AUT,1.3352237412467698,0.15623635482339523,0.0767050865956344,0.15623635482339523,0.0767050865956344,,
10,Amine Gouiri,FWD,6.2,Algeria,ALG,2.94,70.0,0.15370730638083427,0.056728312244990434,0.7685365319041714,0.17018493673497131,0.0,0.0,2,ARG,0.7489468719762685,0.20523125488893784,0.10099214308806666,0.20523125488893784,0.10099214308806666,,,4.12,70.0,0.3474469709699468,0.12823125147300685,1.737234854849734,0.38469375441902054,0.0,0.0,2,JOR,1.6929534985203392,0.20523125488893787,0.10099214308806664,0.20523125488893787,0.10099214308806664,,,3.67,70.0,0.274029643973577,0.1011353303479331,1.370148219867885,0.3034059910437993,0.0,0.0,2,AUT,1.3352237412467698,0.20523125488893784,0.10099214308806666,0.20523125488893784,0.10099214308806666,,
