id,round,name,position,team,abbr,price,xP,xMins,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_contrib,booster,ft,iter
461,1,Marc Guéhi,DEF,England,ENG,5.1,4.23,88.0,1,1,-1,0,0,1,0,1,4.23,TM,1,0
463,1,Ezri Konsa,DEF,England,ENG,4.8,4.15,85.0,1,1,-1,0,0,1,0,1,4.15,TM,1,0
525,1,Nathaniel Brown,DEF,Germany,GER,4.7,4.31,60.0,1,1,-1,0,0,1,0,1,4.31,TM,1,0
526,1,Nico Schlotterbeck,DEF,Germany,GER,5.3,4.31,60.0,1,1,-1,0,0,1,0,1,4.31,TM,1,0
1093,1,Ferran Torres,FWD,Spain,ESP,7.8,7.06,60.0,1,1,-1,0,0,1,0,1,7.06,TM,1,0
1094,1,Mikel Oyarzabal,FWD,Spain,ESP,8.1,7.06,60.0,1,1,-1,1,0,1,0,2,14.12,TM,1,0
1097,1,Víctor Muñoz,FWD,Spain,ESP,4.0,7.06,60.0,1,1,-1,0,1,1,0,1,7.06,TM,1,0
1598,1,Manuel Neuer,GK,Germany,GER,5.0,4.06,60.0,1,1,-1,0,0,1,0,1,4.06,TM,1,0
1137,1,Michel Aebischer,MID,Switzerland,SUI,5.9,3.89,60.0,1,1,-1,0,0,1,0,1,3.89,TM,1,0
1157,1,Denis Zakaria,MID,Switzerland,SUI,6.1,3.89,60.0,1,1,-1,0,0,1,0,1,3.89,TM,1,0
1158,1,Rubén Vargas,MID,Switzerland,SUI,6.8,3.89,60.0,1,1,-1,0,0,1,0,1,3.89,TM,1,0
506,1,Mike Maignan,GK,France,FRA,5.0,3.25,60.0,1,0,0,0,0,1,0,0,0.0,TM,1,0
167,1,Danilo,DEF,Brazil,BRA,4.3,3.48,60.0,1,0,1,0,0,1,0,0,0.0,TM,1,0
1369,1,Neymar,MID,Brazil,BRA,7.2,3.27,60.0,1,0,2,0,0,1,0,0,0.0,TM,1,0
1431,1,Bradley Barcola,MID,France,FRA,8.0,3.21,60.0,1,0,3,0,0,1,0,0,0.0,TM,1,0
1095,1,Borja Iglesias,FWD,Spain,ESP,6.8,7.06,60.0,0,1,-1,0,0,0,0,1,7.06,TM,1,0
167,2,Danilo,DEF,Brazil,BRA,4.3,4.24,60.0,1,1,-1,0,0,0,0,1,4.24,,3,0
461,2,Marc Guéhi,DEF,England,ENG,5.1,5.2,88.0,1,1,-1,0,0,0,0,1,5.2,,3,0
463,2,Ezri Konsa,DEF,England,ENG,4.8,5.1,85.0,1,1,-1,0,0,0,0,1,5.1,,3,0
494,2,Dayot Upamecano,DEF,France,FRA,5.3,4.27,60.0,1,1,-1,0,0,1,0,1,4.27,,3,0
468,2,Harry Kane,FWD,England,ENG,10.5,7.39,88.0,1,1,-1,1,0,1,0,2,14.78,,3,0
1093,2,Ferran Torres,FWD,Spain,ESP,7.8,6.91,60.0,1,1,-1,0,1,0,0,1,6.91,,3,0
1097,2,Víctor Muñoz,FWD,Spain,ESP,4.0,6.91,60.0,1,1,-1,0,0,0,0,1,6.91,,3,0
506,2,Mike Maignan,GK,France,FRA,5.0,4.03,60.0,1,1,-1,0,0,0,0,1,4.03,,3,0
1104,2,Rodri,MID,Spain,ESP,7.5,4.5,60.0,1,1,-1,0,0,1,0,1,4.5,,3,0
1369,2,Neymar,MID,Brazil,BRA,7.2,3.98,60.0,1,1,-1,0,0,0,0,1,3.98,,3,0
1431,2,Bradley Barcola,MID,France,FRA,8.0,4.0,60.0,1,1,-1,0,0,0,0,1,4.0,,3,0
1598,2,Manuel Neuer,GK,Germany,GER,5.0,3.46,60.0,1,0,0,0,0,0,0,0,0.0,,3,0
525,2,Nathaniel Brown,DEF,Germany,GER,4.7,3.63,60.0,1,0,1,0,0,0,0,0,0.0,,3,0
1157,2,Denis Zakaria,MID,Switzerland,SUI,6.1,3.39,60.0,1,0,2,0,0,0,0,0,0.0,,3,0
1158,2,Rubén Vargas,MID,Switzerland,SUI,6.8,3.39,60.0,1,0,3,0,0,0,0,0,0.0,,3,0
526,2,Nico Schlotterbeck,DEF,Germany,GER,5.3,3.63,60.0,0,0,-1,0,0,0,1,0,0.0,,3,0
1094,2,Mikel Oyarzabal,FWD,Spain,ESP,8.1,6.91,60.0,0,0,-1,0,0,0,1,0,0.0,,3,0
1137,2,Michel Aebischer,MID,Switzerland,SUI,5.9,3.39,60.0,0,0,-1,0,0,0,1,0,0.0,,3,0
33,3,Lucas Martínez Quarta,DEF,Argentina,ARG,4.3,4.37,60.0,1,1,-1,0,0,1,0,1,4.37,WC,2,0
117,3,Thomas Meunier,DEF,Belgium,BEL,4.8,3.88,60.0,1,1,-1,0,0,1,0,1,3.88,WC,2,0
118,3,Zeno Debast,DEF,Belgium,BEL,4.3,3.88,60.0,1,1,-1,0,0,1,0,1,3.88,WC,2,0
461,3,Marc Guéhi,DEF,England,ENG,5.1,4.91,88.0,1,1,-1,0,0,0,0,1,4.91,WC,2,0
39,3,Julián Alvarez,FWD,Argentina,ARG,8.6,6.06,60.0,1,1,-1,0,0,1,0,1,6.06,WC,2,0
468,3,Harry Kane,FWD,England,ENG,10.5,6.85,88.0,1,1,-1,1,0,0,0,2,13.7,WC,2,0
1338,3,Lautaro Martínez,FWD,Argentina,ARG,8.8,6.06,60.0,1,1,-1,0,1,1,0,1,6.06,WC,2,0
