id,team,role,player
9,Algeria,penalty,Mohammed Amoura
11,Algeria,penalty,Riyad Mahrez
10,Algeria,set_piece_assist,Amine Gouiri
27,Algeria,set_piece_assist,Farès Chaïbi
26,Algeria,set_piece_assist,Houssem Aouar
11,Algeria,set_piece_assist,Riyad Mahrez
39,Argentina,penalty,Julián Alvarez
1338,Argentina,penalty,Lautaro Martínez
38,Argentina,penalty,Lionel Messi
56,Argentina,set_piece_assist,Alexis Mac Allister
39,Argentina,set_piece_assist,Julián Alvarez
38,Argentina,set_piece_assist,Lionel Messi
30,Argentina,set_piece_assist,Nahuel Molina
51,Argentina,set_piece_assist,Nico Paz
50,Argentina,set_piece_assist,Rodrigo De Paul
55,Argentina,set_piece_assist,Thiago Almada
83,Australia,penalty,Ajdin Hrustic
69,Australia,penalty,Martin Boyle
68,Australia,penalty,Nestory Irankunda
83,Australia,set_piece_assist,Ajdin Hrustic
82,Australia,set_piece_assist,Awer Mabil
80,Australia,set_piece_assist,Connor Metcalfe
69,Australia,set_piece_assist,Martin Boyle
68,Australia,set_piece_assist,Nestory Irankunda
112,Austria,penalty,Christoph Baumgartner
107,Austria,penalty,Marcel Sabitzer
95,Austria,penalty,Marko Arnautovic
85,Austria,set_piece_assist,David Alaba
105,Austria,set_piece_assist,Florian Grillitsch
107,Austria,set_piece_assist,Marcel Sabitzer
109,Austria,set_piece_assist,Patrick Wimmer
110,Austria,set_piece_assist,Paul Wanner
108,Austria,set_piece_assist,Romano Schmid
138,Belgium,penalty,Kevin De Bruyne
124,Belgium,penalty,Romelu Lukaku
137,Belgium,penalty,Youri Tielemans
138,Belgium,set_piece_assist,Kevin De Bruyne
1526,Belgium,set_piece_assist,Leandro Trossard
114,Belgium,set_piece_assist,Maxim De Cuyper
137,Belgium,set_piece_assist,Youri Tielemans
162,Bosnia and Herzegovina,penalty,Amir Hadziahmetovic
152,Bosnia and Herzegovina,penalty,Kerim Alajbegovic
140,Bosnia and Herzegovina,set_piece_assist,Amar Dedic
150,Bosnia and Herzegovina,set_piece_assist,Esmir Bajraktarevic
160,Bosnia and Herzegovina,set_piece_assist,Ivan Basic
152,Bosnia and Herzegovina,set_piece_assist,Kerim Alajbegovic
178,Brazil,penalty,Igor Thiago
190,Brazil,penalty,Lucas Paquetá
1366,Brazil,penalty,Raphinha
1361,Brazil,set_piece_assist,Bruno Guimarães
190,Brazil,set_piece_assist,Lucas Paquetá
174,Brazil,set_piece_assist,Matheus Cunha
1366,Brazil,set_piece_assist,Raphinha
173,Brazil,set_piece_assist,Vinícius Júnior
