Code,PELE,Tactical,Personnel,total_tilt,Total Tilt,tilt_cat
ESP,2084.0,0.08,0.00,0.08,⚪ Balanced (+.08)@@1007,Balanced
ARG,2067.2,-0.19,0.07,-0.11,🟣 Defensive (-.11)@@0988,Defensive
ENG,2029.8,-0.16,0.06,-0.11,🟣 Defensive (-.11)@@0988,Defensive
FRA,2025.8,-0.09,0.06,-0.03,⚪ Balanced (-.03)@@0996,Balanced
BRA,2001.2,+0.12,0.09,0.21,⚪ Balanced (+.01)@@1000,Balanced
POR,1968.8,0.03,0.00,0.03,⚪ Balanced (+.03)@@1002,Balanced
GER,1965.2,0.51,0.04,0.55,🟠 Very attacking (+.55)@@1054,Very attacking
NED,1952.3,0.25,-0.08,0.17,🟠 Attacking (+.17)@@1016,Attacking
COL,1945.1,-0.31,0.06,-0.25,🟣 Defensive (-.25)@@0974,Defensive
NOR,1932.8,0.09,0.14,0.23,🟠 Attacking (+.23)@@1022,Attacking
URU,1922.2,-0.13,-0.04,-0.17,🟣 Defensive (-.17)@@0982,Defensive
ECU,1919.4,-0.12,-0.12,-0.24,🟣 Defensive (-.24)@@0975,Defensive
SEN,1901.3,-0.37,0.05,-0.32,🟣 Defensive (-.32)@@0967,Defensive
ITA,1896.7,-0.25,-0.09,-0.34,🟣 Defensive (-.34)@@0965,Defensive
TUR,1890.4,0.19,0.06,0.25,🟠 Attacking (+.25)@@1024,Attacking
BEL,1890.0,0.21,0.01,0.21,🟠 Attacking (+.21)@@1020,Attacking
SUI,1883.3,0.13,-0.05,0.09,⚪ Balanced (+.09)@@1008,Balanced
CRO,1876.1,0.09,-0.09,0.00,⚪ Balanced (±.00)@@0999,Balanced
JPN,1872.2,0.04,0.05,0.08,⚪ Balanced (+.08)@@1007,Balanced
DEN,1864.4,0.11,0.00,0.11,🟠 Attacking (+.11)@@1010,Attacking
MAR,1855.8,-0.48,0.04,-0.44,🟣 Very defensive (-.44)@@0955,Very defensive
PAR,1849.6,-0.24,0.05,-0.20,🟣 Defensive (-.20)@@0979,Defensive
MEX,1844.8,-0.21,0.02,-0.20,🟣 Defensive (-.20)@@0979,Defensive
AUT,1830.4,0.29,-0.07,0.22,🟠 Attacking (+.22)@@1021,Attacking
CAN,1815.2,-0.10,0.03,-0.07,⚪ Balanced (-.07)@@0992,Balanced
NGA,1813.5,-0.34,0.09,-0.25,🟣 Defensive (-.25)@@0974,Defensive
RUS,1808.8,0.08,0.03,0.12,🟠 Attacking (+.12)@@1011,Attacking
SCO,1805.6,-0.05,-0.01,-0.06,⚪ Balanced (-.06)@@0993,Balanced
USA,1804.7,0.07,0.04,0.11,🟠 Attacking (+.11)@@1010,Attacking
ALG,1797.4,-0.01,0.09,0.08,⚪ Balanced (+.08)@@1007,Balanced
GRE,1791.2,-0.17,0.08,-0.09,⚪ Balanced (-.09)@@0990,Balanced
SWE,1788.6,0.09,0.09,0.18,🟠 Attacking (+.18)@@1017,Attacking
POL,1779.3,0.20,-0.05,0.15,🟠 Attacking (+.15)@@1014,Attacking
UKR,1778.9,-0.07,-0.06,-0.13,🟣 Defensive (-.13)@@0986,Defensive
CIV,1778.8,-0.11,0.05,-0.06,⚪ Balanced (-.06)@@0993,Balanced
SRB,1776.1,0.15,-0.05,0.09,⚪ Balanced (+.09)@@1008,Balanced
CHI,1773.1,-0.03,0.04,0.00,⚪ Balanced (±.00)@@0999,Balanced
VEN,1769.3,0.09,0.00,0.09,⚪ Balanced (+.09)@@1008,Balanced
AUS,1765.7,-0.04,-0.09,-0.12,🟣 Defensive (-.12)@@0987,Defensive
CZE,1764.6,0.12,-0.04,0.09,⚪ Balanced (+.09)@@1008,Balanced
HUN,1763.8,0.24,0.03,0.26,🟠 Attacking (+.26)@@1025,Attacking
EGY,1762.9,-0.26,0.17,-0.09,⚪ Balanced (-.09)@@0990,Balanced
IRL,1757.6,-0.28,-0.03,-0.32,🟣 Defensive (-.32)@@0967,Defensive
WAL,1753.7,-0.12,0.03,-0.09,⚪ Balanced (-.09)@@0990,Balanced
KOR,1753.6,-0.23,0.06,-0.17,🟣 Defensive (-.17)@@0982,Defensive
COD,1743.9,-0.10,0.03,-0.07,⚪ Balanced (-.07)@@0992,Balanced
PER,1740.8,-0.20,-0.10,-0.30,🟣 Defensive (-.30)@@0969,Defensive
PAN,1739.1,0.01,-0.05,-0.04,⚪ Balanced (-.04)@@0995,Balanced
KOS,1737.2,0.04,0.00,0.04,⚪ Balanced (+.04)@@1003,Balanced
SVN,1733.6,-0.13,0.05,-0.08,⚪ Balanced (-.08)@@0991,Balanced
SVK,1725.9,0.06,-0.08,-0.02,⚪ Balanced (-.02)@@0997,Balanced
IRN,1720.1,-0.27,0.12,-0.16,🟣 Defensive (-.16)@@0983,Defensive
MLI,1713.5,-0.25,0.01,-0.24,🟣 Defensive (-.24)@@0975,Defensive
ROU,1711.2,-0.07,-0.02,-0.09,⚪ Balanced (-.09)@@0990,Balanced
CMR,1709.1,-0.27,0.04,-0.23,🟣 Defensive (-.23)@@0976,Defensive
UZB,1708.9,0.05,-0.08,-0.02,⚪ Balanced (-.02)@@0997,Balanced
GEO,1705.4,-0.03,0.12,0.09,⚪ Balanced (+.09)@@1008,Balanced
TUN,1704.5,-0.27,0.06,-0.20,🟣 Defensive (-.20)@@0979,Defensive
ALB,1700.8,-0.30,0.03,-0.27,🟣 Defensive (-.27)@@0972,Defensive
BIH,1697.4,0.18,-0.04,0.14,🟠 Attacking (+.14)@@1013,Attacking
ISR,1688.7,0.29,0.09,0.39,🟠 Attacking (+.39)@@1038,Attacking
NIR,1683.0,-0.23,-0.13,-0.36,🟣 Defensive (-.36)@@0963,Defensive
GHA,1678.6,-0.24,0.14,-0.10,🟣 Defensive (-.10)@@0989,Defensive
RSA,1677.3,-0.26,0.03,-0.23,🟣 Defensive (-.23)@@0976,Defensive
