player,team,position
Mehdi Dorval,Algeria,DEF
Zinéddine Belaïd,Algeria,DEF
Sohaib Nair,Algeria,DEF
Achref Abada,Algeria,DEF
Farès Ghedjemis,Algeria,FWD
Ahmed Benbouali,Algeria,FWD
Amin Chiakha,Algeria,FWD
Anthony Mandréa,Algeria,GK
Luca Zidane,Algeria,GK
Melvin Mastil,Algeria,GK
Kilian Belazzoug,Algeria,GK
Adil Boulbina,Algeria,MID
Yacine Titraoui,Algeria,MID
Marcos Acuña,Argentina,DEF
Lucas Martínez Quarta,Argentina,DEF
Gabriel Rojas,Argentina,DEF
Agustín Giay,Argentina,DEF
Germán Pezzella,Argentina,DEF
Lautaro Di Lollo,Argentina,DEF
Gonzalo Montiel,Argentina,DEF
Kevin Mac Allister,Argentina,DEF
José Manuel López,Argentina,FWD
Facundo Cambeses,Argentina,GK
Santiago Beltrán,Argentina,GK
Leandro Paredes,Argentina,MID
Nico Paz,Argentina,MID
Emiliano Buendía,Argentina,MID
Aníbal Moreno,Argentina,MID
Tomás Aranda,Argentina,MID
Milton Delgado,Argentina,MID
Jordan Bos,Australia,DEF
Cameron Burgess,Australia,DEF
Milos Degenek,Australia,DEF
Aziz Behich,Australia,DEF
Fran Karacic,Australia,DEF
Kai Trewin,Australia,DEF
Lucas Herrington,Australia,DEF
Nestory Irankunda,Australia,FWD
Nishan Velupillay,Australia,FWD
Deni Juric,Australia,FWD
Paul Izzo,Australia,GK
Patrick Beach,Australia,GK
Paul Okon,Australia,MID
Alex Robertson,Australia,MID
Awer Mabil,Australia,MID
Riley McGree,Australia,MID
Michael Svoboda,Austria,DEF
Marko Arnautovic,Austria,FWD
Patrick Pentz,Austria,GK
Brandon Mechele,Belgium,DEF
Joaquin Seys,Belgium,DEF
Hans Vanaken,Belgium,MID
Nikola Katic,Bosnia and Herzegovina,DEF
Stjepan Radeljic,Bosnia and Herzegovina,DEF
Dennis Hadzikadunic,Bosnia and Herzegovina,DEF
Jovo Lukic,Bosnia and Herzegovina,FWD
Samed Bazdar,Bosnia and Herzegovina,FWD
Osman Hadzikic,Bosnia and Herzegovina,GK
Martin Zlomislic,Bosnia and Herzegovina,GK
Dzenis Burnic,Bosnia and Herzegovina,MID
Ivan Sunjic,Bosnia and Herzegovina,MID
Ivan Basic,Bosnia and Herzegovina,MID
Benjamin Tahirovic,Bosnia and Herzegovina,MID
Amir Hadziahmetovic,Bosnia and Herzegovina,MID
Ibañez,Brazil,DEF
Douglas Santos,Brazil,DEF
Bremer,Brazil,DEF
Léo Pereira,Brazil,DEF
Alex Sandro,Brazil,DEF
Alisson Becker,Brazil,GK
Weverton,Brazil,GK
Neymar,Brazil,MID
Pico,Cabo Verde,DEF
Kelvin Pires,Cabo Verde,DEF
Diney,Cabo Verde,DEF
Stopira,Cabo Verde,DEF
Garry Rodrigues,Cabo Verde,FWD
Willy Semedo,Cabo Verde,FWD
Vozinha,Cabo Verde,GK
CJ dos Santos,Cabo Verde,GK
Márcio da Rosa,Cabo Verde,GK
Yannick Semedo,Cabo Verde,MID
Kevin Pina,Cabo Verde,MID
Deroy Duarte,Cabo Verde,MID
Laros Duarte,Cabo Verde,MID
Hélio Varela,Cabo Verde,MID
Gilson Benchimol,Cabo Verde,MID
Luc De Fougerolles,Canada,DEF
Jamie Knight-Lebel,Canada,DEF
Alfie Jones,Canada,DEF
Liam Millar,Canada,FWD
Daniel Jebbison,Canada,FWD
Promise David,Canada,FWD
Owen Goodman,Canada,GK
Ralph Priso,Canada,MID
Niko Sigur,Canada,MID
Santiago Arias,Colombia,DEF
Jhon Córdoba,Colombia,FWD
Andrés Gómez,Colombia,FWD
Cucho Hernández,Colombia,FWD
David Ospina,Colombia,GK
Álvaro Montero,Colombia,GK
Kevin Castaño,Colombia,MID
Gustavo Puerta,Colombia,MID
Juan Fernando Quintero,Colombia,MID
Jaminton Campaz,Colombia,MID
Jorge Carrascal,Colombia,MID
Juan Portilla,Colombia,MID
Joris Kayembe,Congo DR,DEF
Steve Kapuadi,Congo DR,DEF
Gédéon Kalulu,Congo DR,DEF
Simon Banza,Congo DR,FWD
Fiston Mayele,Congo DR,FWD
Nathanaël Mbuku,Congo DR,FWD
Brian Cipenga,Congo DR,FWD
Matthieu Epolo,Congo DR,GK
Timothy Fayulu,Congo DR,GK
Edo Kayembe,Congo DR,MID
Théo Bongonda,Congo DR,MID
Martin Erlic,Croatia,DEF
Ivor Pandur,Croatia,GK
Dominik Kotarski,Croatia,GK
Toni Fruk,Croatia,MID
Leandro Bacuna,Curaçao,DEF
Roshon van Eijma,Curaçao,DEF
Ar'Jany Martha,Curaçao,DEF
Juriën Gaari,Curaçao,DEF
Sontje Hansen,Curaçao,FWD
Kenji Gorré,Curaçao,FWD
Jearl Margaritha,Curaçao,FWD
Gervane Kastaneer,Curaçao,FWD
Jürgen Locadia,Curaçao,FWD
Eloy Room,Curaçao,GK
Trevor Doornbusch,Curaçao,GK
Tyrick Bodak,Curaçao,GK
Tahith Chong,Curaçao,MID
Godfried Roemeratoe,Curaçao,MID
Kevin Felida,Curaçao,MID
Evan Ndicka,Côte d'Ivoire,DEF
Oumar Diakité,Côte d'Ivoire,FWD
Mohamed Koné,Côte d'Ivoire,GK
Parfait Guiagon,Côte d'Ivoire,MID
Jean Michaël Seri,Côte d'Ivoire,MID
Joel Ordóñez,Ecuador,DEF
Félix Torres,Ecuador,DEF
José Hurtado,Ecuador,DEF
Yaimar Medina,Ecuador,DEF
Deinner Ordóñez,Ecuador,DEF
Fricio Caicedo,Ecuador,DEF
Gonzalo Plata,Ecuador,FWD
Kevin Rodríguez,Ecuador,FWD
Alan Minda,Ecuador,FWD
Jordy Caicedo,Ecuador,FWD
Hernán Galíndez,Ecuador,GK
Gonzalo Valle,Ecuador,GK
Cristhian Loor,Ecuador,GK
Denil Castillo,Ecuador,MID
Jordy Alcívar,Ecuador,MID
John Yeboah,Ecuador,MID
Anthony Valencia,Ecuador,MID
Alan Franco,Ecuador,MID
Ederson Castillo,Ecuador,MID
Darwin Guagua,Ecuador,MID
Malcom DaCosta,Ecuador,MID
Bruno Caicedo,Ecuador,MID
Luis Fragozo,Ecuador,MID
Mohamed Abdelmonem,Egypt,DEF
Ahmed Fatouh,Egypt,DEF
Mohamed Hany,Egypt,DEF
Ramy Rabia,Egypt,DEF
Hossam Abdelmaguid,Egypt,DEF
Tarek Alaa,Egypt,DEF
Yasser Ibrahim,Egypt,DEF
Karim Hafez,Egypt,DEF
Trezeguet,Egypt,FWD
Aqtay Abdallah,Egypt,FWD
Hamza Abdelkarim,Egypt,FWD
Mohamed El Shenawy,Egypt,GK
El Mahdy Soliman,Egypt,GK
Mostafa Shobeir,Egypt,GK
Mohamed Alaa,Egypt,GK
Marwan Attia,Egypt,MID
Zizo,Egypt,MID
Hamdi Fathy,Egypt,MID
Emam Ashour,Egypt,MID
Mahmoud Saber,Egypt,MID
Mohanad Lasheen,Egypt,MID
Ibrahim Adel,Egypt,MID
Nabil Emad Dunga,Egypt,MID
Mostafa Zico,Egypt,MID
Abdul Baba,Ghana,DEF
Jordan Ayew,Ghana,FWD
Prince Adu,Ghana,FWD
Abdul Fatawu,Ghana,FWD
Christopher Bonsu Baah,Ghana,FWD
Brandon Thomas-Asante,Ghana,FWD
Benjamin Asare,Ghana,GK
Paul Reverson,Ghana,GK
Solomon Agbasi,Ghana,GK
Lawrence Ati Zigi,Ghana,GK
Joseph Anang,Ghana,GK
Augustine Boakye,Ghana,MID
Caleb Yirenkyi,Ghana,MID
Jean-Kévin Duverne,Haiti,DEF
Ricardo Adé,Haiti,DEF
Martin Expérience,Haiti,DEF
Wilguens Paugain,Haiti,DEF
Duke Lacroix,Haiti,DEF
Keeto Thermoncy,Haiti,DEF
Duckens Nazon,Haiti,FWD
Yassin Fortuné,Haiti,FWD
Ruben Providence,Haiti,FWD
Lenny Joseph,Haiti,FWD
Johny Placide,Haiti,GK
Alexandre Pierre,Haiti,GK
Josué Duverger,Haiti,GK
Woodensky Pierre,Haiti,MID
Leverton Pierre,Haiti,MID
Carl Sainté,Haiti,MID
Danley Jean Jacques,Haiti,MID
Ramin Rezaeian,IR Iran,DEF
Hossein Kanani,IR Iran,DEF
Milad Mohammadi,IR Iran,DEF
Shoja Khalilzadeh,IR Iran,DEF
Ehsan Hajisafi,IR Iran,DEF
Saleh Hardani,IR Iran,DEF
Ali Nemati,IR Iran,DEF
Aria Yousefi,IR Iran,DEF
Danial Eiri,IR Iran,DEF
Alireza Jahanbakhsh,IR Iran,FWD
Saman Ghoddos,IR Iran,FWD
Ali Alipour,IR Iran,FWD
Dennis Dargahi,IR Iran,FWD
Amirhossein Hosseinzadeh,IR Iran,FWD
Amirhossein Mahmoudi,IR Iran,FWD
Kasra Taheri,IR Iran,FWD
Alireza Beiranvand,IR Iran,GK
Payam Niazmand,IR Iran,GK
Hossein Hosseini,IR Iran,GK
Mohammad Khalifeh,IR Iran,GK
Amir Mohammad Razzaghinia,IR Iran,MID
Hadi Habibinejad,IR Iran,MID
Mohammad Ghorbani,IR Iran,MID
