player,team,position,matched_club,matched_intl,club_suggestion,club_score,intl_suggestion,intl_score
Mehdi Dorval,Algeria,DEF,False,True,Mehdi Léris,60.9,Mehdi Dorval,100.0
Zinéddine Belaïd,Algeria,DEF,False,True,,,Zineddine Belaid,100.0
Sohaib Nair,Algeria,DEF,False,False,,,,
Achref Abada,Algeria,DEF,False,False,,,,
Mohammed Amoura,Algeria,FWD,False,False,Mohamed Amoura,96.6,Mohamed Amoura,96.6
Farès Ghedjemis,Algeria,FWD,False,False,,,,
Ahmed Benbouali,Algeria,FWD,False,False,Ahmed Kendouci,75.9,Ahmed Kendouci,75.9
Amin Chiakha,Algeria,FWD,False,True,,,Amin Chiakha,100.0
Anthony Mandréa,Algeria,GK,False,True,,,Anthony Mandrea,100.0
Luca Zidane,Algeria,GK,False,True,,,Luca Zidane,100.0
Melvin Mastil,Algeria,GK,False,False,,,,
Kilian Belazzoug,Algeria,GK,False,False,,,,
Adil Boulbina,Algeria,MID,False,True,,,Adil Boulbina,100.0
Yacine Titraoui,Algeria,MID,False,False,Yassine Titraoui,90.3,Yacine Brahimi,69.0
Adil Aouchiche,Algeria,MID,True,False,Adil Aouchiche,100.0,,
Marcos Senesi,Argentina,DEF,True,False,Marcos Senesi,100.0,Marcos Acuña,64.0
Gabriel Rojas,Argentina,DEF,True,False,Gabriel Rojas,100.0,,
Agustín Giay,Argentina,DEF,True,False,Agustín Giay,100.0,,
Gianluca Prestianni,Argentina,MID,True,False,Gianluca Prestianni,100.0,,
Nico González,Argentina,MID,False,False,Nicolás González,89.7,Nicolás González,89.7
José Manuel López,Argentina,FWD,True,False,José Manuel López,100.0,,
Juan Musso,Argentina,GK,True,False,Juan Musso,100.0,Juan Foyth,60.0
Máximo Perrone,Argentina,MID,True,False,Máximo Perrone,100.0,,
Valentín Barco,Argentina,MID,True,False,Valentín Barco,100.0,Valentin Carboni,80.0
Milos Degenek,Australia,DEF,False,True,,,Miloš Degenek,100.0
Aziz Behich,Australia,DEF,False,True,,,Aziz Behich,100.0
Fran Karacic,Australia,DEF,False,True,Ryan Strain,60.9,Fran Karačić,100.0
Kai Trewin,Australia,DEF,False,False,,,,
Lucas Herrington,Australia,DEF,False,False,,,,
Nishan Velupillay,Australia,FWD,False,True,,,Nishan Velupillay,100.0
Deni Juric,Australia,FWD,False,False,,,,
Jacob Italiano,Australia,DEF,True,False,Jacob Italiano,100.0,Marco Tilio,64.0
Ante Suto,Australia,FWD,True,False,Ante Suto,100.0,Nestory Irankunda,64.3
Paul Izzo,Australia,GK,False,False,,,,
Patrick Beach,Australia,GK,False,False,Patrick Yazbek,74.1,Patrick Yazbek,74.1
Paul Okon,Australia,MID,False,False,,,,
Alex Robertson,Australia,MID,False,False,,,,
Awer Mabil,Australia,MID,False,True,,,Awer Mabil,100.0
David Affengruber,Austria,DEF,True,False,David Affengruber,100.0,David Alaba,85.5
Michael Svoboda,Austria,DEF,False,True,Michael Sollbauer,75.0,Michael Svoboda,100.0
Marko Arnautovic,Austria,FWD,False,True,Marko Raguž,66.7,Marko Arnautović,100.0
Sasa Kalajdzic,Austria,FWD,True,False,Sasa Kalajdzic,100.0,,
Patrick Pentz,Austria,GK,False,True,Patrick Greil,69.2,Patrick Pentz,100.0
Florian Wiegele,Austria,GK,True,False,Florian Wiegele,100.0,Florian Grillitsch,60.6
Carney Chukwuemeka,Austria,MID,True,False,Carney Chukwuemeka,100.0,,
Paul Wanner,Austria,MID,True,False,Paul Wanner,100.0,,
Nathan Ngoy,Belgium,DEF,True,False,Nathan Ngoy,100.0,,
Nikola Katic,Bosnia and Herzegovina,DEF,False,True,Nikola Vasilj,72.0,Nikola Katić,100.0
Stjepan Radeljic,Bosnia and Herzegovina,DEF,False,True,,,Stjepan Radeljić,100.0
