player,team,position,league,gls_p90_pct,ast_p90_pct,weight_source,league_strength
Cameron Burgess,Australia,DEF,ENG2-EFL Championship,0.1415929203539823,0.19911504424778761,fbref,0.884657236126224
Ivor Pandur,Croatia,GK,ENG2-EFL Championship,0.0,0.0,gk_neutral,0.884657236126224
Kenny McLean,Scotland,MID,ENG2-EFL Championship,0.3805031446540881,0.39308176100628933,fbref,0.884657236126224
Dominic Hyam,Scotland,DEF,ENG2-EFL Championship,0.1415929203539823,0.19911504424778761,fbref,0.884657236126224
Imrân Louza,Morocco,MID,ENG2-EFL Championship,0.7138364779874213,0.9056603773584906,fbref,0.884657236126224
Egil Selvik,Norway,GK,ENG2-EFL Championship,0.0,0.0,gk_neutral,0.884657236126224
Jordan Pickford,England,GK,ENG-Premier League,0.0,0.0,gk_neutral,1.0
Song Bum-Keun,Korea Republic,GK,KOR-K League 1,0.0,0.0,gk_neutral,0.8204570184983678
Bart Verbruggen,Netherlands,GK,ENG-Premier League,0.0,0.0,gk_neutral,1.0
Tomoki Hayakawa,Japan,GK,JPN-J1 League,0.0,0.0,gk_neutral,0.8487486398258977
Keisuke Osako,Japan,GK,JPN-J1 League,0.0,0.0,gk_neutral,0.8487486398258977
Marvin Keller,Switzerland,GK,SUI-Super League,0.0,0.0,gk_neutral,0.8433079434167573
Virgil van Dijk,Netherlands,DEF,ENG-Premier League,0.9791666666666666,0.22916666666666666,fbref,1.0
Paik Seung-Ho,Korea Republic,MID,ENG2-EFL Championship,0.5628930817610063,0.20754716981132076,fbref,0.884657236126224
Elliot Anderson,England,MID,ENG-Premier League,0.514018691588785,0.4953271028037383,fbref,1.0
David Raya,Spain,GK,ENG-Premier League,0.0,0.0,gk_neutral,1.0
Dean Henderson,England,GK,ENG-Premier League,0.0,0.0,gk_neutral,1.0
Unai Simón,Spain,GK,ESP-La Liga,0.0,0.0,gk_neutral,0.942328618063112
Mike Maignan,France,GK,ITA-Serie A,0.0,0.0,gk_neutral,0.9357997823721436
Marcos Senesi,Argentina,DEF,ENG-Premier League,0.22395833333333334,0.9322916666666666,fbref,1.0
Igor Thiago,Brazil,FWD,ENG-Premier League,0.9464285714285714,0.39285714285714285,fbref,1.0
Morgan Rogers,England,MID,ENG-Premier League,0.8598130841121495,0.719626168224299,fbref,1.0
Mathew Ryan,Australia,GK,ESP-La Liga,0.0,0.0,gk_neutral,0.942328618063112
Johan Vásquez,Mexico,DEF,ITA-Serie A,0.5113636363636364,0.3068181818181818,fbref,0.9357997823721436
Jan Paul van Hecke,Netherlands,DEF,ENG-Premier League,0.796875,0.7552083333333334,fbref,1.0
Aidan Morris,USA,MID,ENG2-EFL Championship,0.0880503144654088,0.4591194968553459,fbref,0.884657236126224
Lawrence Ati Zigi,Ghana,GK,SUI-Super League,0.0,0.0,gk_neutral,0.8433079434167573
Jesper Karlström,Sweden,MID,ITA-Serie A,0.22897196261682243,0.11682242990654206,fbref,0.9357997823721436
Ferdi Kadioglu,Türkiye,DEF,ENG-Premier League,0.5192307692307693,0.21153846153846154,fbref,1.0
Enzo Fernández,Argentina,MID,ENG-Premier League,0.9018691588785047,0.5607476635514018,fbref,1.0
Park Jin-Seob,Korea Republic,MID,KOR-K League 1,0.8571428571428571,0.5714285714285714,fbref,0.8204570184983678
Declan Rice,England,MID,ENG-Premier League,0.5514018691588785,0.6915887850467289,fbref,1.0
Ibrahima Konaté,France,DEF,ENG-Premier League,0.515625,0.22916666666666666,fbref,1.0
Maxence Lacroix,France,DEF,ENG-Premier League,0.515625,0.6666666666666666,fbref,1.0
Bruno Fernandes,Portugal,MID,ENG-Premier League,0.8364485981308412,1.0,fbref,1.0
Alexander Nübel,Germany,GK,GER-Bundesliga,0.0,0.0,gk_neutral,0.9412404787812839
Gregor Kobel,Switzerland,GK,GER-Bundesliga,0.0,0.0,gk_neutral,0.9412404787812839
Oliver Baumann,Germany,GK,GER-Bundesliga,0.0,0.0,gk_neutral,0.9412404787812839
Nikola Vasilj,Bosnia and Herzegovina,GK,GER-Bundesliga,0.0,0.0,gk_neutral,0.9412404787812839
Kaishu Sano,Japan,MID,GER-Bundesliga,0.20555555555555555,0.28888888888888886,fbref,0.9412404787812839
Yazan Al Arab,Jordan,DEF,KOR-K League 1,0.6388888888888888,0.5092592592592593,fbref,0.8204570184983678
Antonio Rodríguez,Mexico,GK,MEX-Liga MX,0.0,0.0,gk_neutral,0.8465723612622414
Nikola Vlasic,Croatia,MID,ITA-Serie A,0.6904761904761905,0.30952380952380953,fbref,0.9357997823721436
Micky van de Ven,Netherlands,DEF,ENG-Premier League,0.953125,0.5,fbref,1.0
Ezri Konsa,England,DEF,ENG-Premier League,0.22395833333333334,0.22916666666666666,fbref,1.0
Vladimír Coufal,Czechia,DEF,GER-Bundesliga,0.3333333333333333,0.9583333333333334,fbref,0.9412404787812839
Ryan Gravenberch,Netherlands,MID,ENG-Premier League,0.6495327102803738,0.40654205607476634,fbref,1.0
Martín Zubimendi,Spain,MID,ENG-Premier League,0.6495327102803738,0.17757009345794392,fbref,1.0
Mateo Pellegrino,Argentina,FWD,ITA-Serie A,0.35106382978723405,0.19148936170212766,fbref,0.9357997823721436
Romano Schmid,Austria,MID,GER-Bundesliga,0.1774193548387097,0.7258064516129032,fbref,0.9412404787812839
Muhammed Sengezer,Türkiye,GK,TUR-Super Lig,0.0,0.0,gk_neutral,0.8563656147986942
Mike Penders,Belgium,GK,FRA-Ligue 1,0.0,0.0,gk_neutral,0.9303590859630032
Jo Hyeon-Woo,Korea Republic,GK,KOR-K League 1,0.0,0.0,gk_neutral,0.8204570184983678
Robin Risser,France,GK,FRA-Ligue 1,0.0,0.0,gk_neutral,0.9303590859630032
Carlos Moreno,Mexico,GK,MEX-Liga MX,0.0,0.0,gk_neutral,0.8465723612622414
Nico Elvedi,Switzerland,DEF,GER-Bundesliga,0.19402985074626866,0.6791044776119403,fbref,0.9412404787812839
Malick Thiaw,Germany,DEF,ENG-Premier League,0.953125,0.22916666666666666,fbref,1.0
Lukás Hornícek,Czechia,GK,POR-Primeira Liga,0.0,0.0,gk_neutral,0.8857453754080522
Erling Haaland,Norway,FWD,ENG-Premier League,1.0,1.0,fbref,1.0
Léo Pereira,Brazil,DEF,BRA-Serie A,0.8727272727272727,0.2772727272727273,fbref,0.9042437431991294
David Affengruber,Austria,DEF,ESP-La Liga,0.5428571428571428,0.47619047619047616,fbref,0.942328618063112
Ante Budimir,Croatia,FWD,ESP-La Liga,0.6944444444444444,0.125,fbref,0.942328618063112
Jackson Porozo,Ecuador,DEF,MEX-Liga MX,0.6805555555555556,0.2916666666666667,fbref,0.8465723612622414
Bae Jun-Ho,Korea Republic,MID,ENG2-EFL Championship,0.330188679245283,0.5440251572327044,fbref,0.884657236126224
Marin Pongracic,Croatia,DEF,ITA-Serie A,0.23863636363636365,0.3068181818181818,fbref,0.9357997823721436
Eldor Shomurodov,Uzbekistan,FWD,TUR-Super Lig,0.9705882352941176,0.6176470588235294,fbref,0.8563656147986942
Bryan González,Mexico,DEF,MEX-Liga MX,0.8611111111111112,0.7777777777777778,fbref,0.8465723612622414
Diogo Costa,Portugal,GK,POR-Primeira Liga,0.0,0.0,gk_neutral,0.8857453754080522
Sander Berge,Norway,MID,ENG-Premier League,0.06542056074766354,0.17757009345794392,fbref,1.0
Granit Xhaka,Switzerland,MID,ENG-Premier League,0.1542056074766355,0.8177570093457944,fbref,1.0
João Félix,Portugal,FWD,SAU-Saudi Pro League,1.0,0.8888888888888888,fbref,0.8193688792165397
Willer Ditta,Colombia,DEF,MEX-Liga MX,0.25,0.75,fbref,0.8465723612622414
Michel Aebischer,Switzerland,MID,ITA-Serie A,0.22897196261682243,0.3878504672897196,fbref,0.9357997823721436
Noah Sadiki,Congo DR,MID,ENG-Premier League,0.06542056074766354,0.17757009345794392,fbref,1.0
Pavel Bucha,Czechia,MID,USA-MLS,0.6521739130434783,0.5652173913043478,fbref,0.8531011969532101
Jacob Widell Zetterström,Sweden,GK,ENG2-EFL Championship,0.0,0.0,gk_neutral,0.884657236126224
Rui Silva,Portugal,GK,POR-Primeira Liga,0.0,0.0,gk_neutral,0.8857453754080522
Orlando Mosquera,Panama,GK,SAU-Saudi Pro League,0.0,0.0,gk_neutral,0.8193688792165397
Thibaut Courtois,Belgium,GK,ESP-La Liga,0.0,0.0,gk_neutral,0.942328618063112
Senne Lammens,Belgium,GK,ENG-Premier League,0.0,0.0,gk_neutral,1.0
Waldemar Anton,Germany,DEF,GER-Bundesliga,0.5746268656716418,0.26119402985074625,fbref,0.9412404787812839
Brice Samba,France,GK,FRA-Ligue 1,0.0,0.0,gk_neutral,0.9303590859630032
Nico Paz,Argentina,MID,ITA-Serie A,0.9813084112149533,0.897196261682243,fbref,0.9357997823721436
Bernardo Silva,Portugal,MID,ENG-Premier League,0.26635514018691586,0.6121495327102804,fbref,1.0
Matheus Nunes,Portugal,MID,ENG-Premier League,0.515625,0.9479166666666666,fbref,1.0
